timestamp,attacks
2025-08-29 08:52:18.724000+01:00,4
2025-08-29 08:52:18.725000+01:00,4
2025-08-29 08:52:18.733000+01:00,4
2025-08-29 08:52:20.809000+01:00,2
2025-08-29 08:52:23.410000+01:00,1
2025-08-29 08:52:23.414000+01:00,4
2025-08-29 08:52:23.433000+01:00,4
2025-08-29 08:52:23.447000+01:00,3
2025-08-29 08:52:23.449000+01:00,4
2025-08-29 08:52:23.453000+01:00,4
2025-08-29 08:52:23.454000+01:00,4
2025-08-29 08:52:23.484000+01:00,4
2025-08-29 08:52:23.485000+01:00,1
2025-08-29 08:52:23.603000+01:00,4
2025-08-29 08:52:23.698000+01:00,1
2025-08-29 08:52:24.948000+01:00,2
2025-08-29 08:52:24.949000+01:00,1
2025-08-29 08:52:24.950000+01:00,1
2025-08-29 08:52:24.951000+01:00,1
2025-08-29 08:52:24.952000+01:00,1
2025-08-29 08:52:24.953000+01:00,1
2025-08-29 08:52:25.089000+01:00,2
2025-08-29 08:52:25.090000+01:00,1
2025-08-29 08:52:25.091000+01:00,1
2025-08-29 08:52:27.122000+01:00,1
2025-08-29 08:52:30.555000+01:00,4
2025-08-29 08:52:30.556000+01:00,4
2025-08-29 08:52:32.469000+01:00,1
2025-08-29 08:52:32.718000+01:00,1
2025-08-29 08:52:33.841000+01:00,1
2025-08-29 08:52:33.878000+01:00,1
2025-08-29 08:52:33.879000+01:00,1
2025-08-29 08:52:33.905000+01:00,1
2025-08-29 08:52:36.087000+01:00,2
2025-08-29 08:52:37.109000+01:00,19
2025-08-29 08:52:37.110000+01:00,12
2025-08-29 08:52:37.115000+01:00,9
2025-08-29 08:52:37.127000+01:00,31
2025-08-29 08:52:37.128000+01:00,10
2025-08-29 08:52:37.132000+01:00,1
2025-08-29 08:52:37.136000+01:00,1
2025-08-29 08:52:37.140000+01:00,11
2025-08-29 08:52:37.144000+01:00,1
2025-08-29 08:52:37.161000+01:00,2
2025-08-29 08:52:37.232000+01:00,45
2025-08-29 08:52:37.236000+01:00,1
2025-08-29 08:52:37.237000+01:00,63
2025-08-29 08:52:39.931000+01:00,2
2025-08-29 08:52:39.932000+01:00,1
2025-08-29 08:52:39.933000+01:00,1
2025-08-29 08:52:39.935000+01:00,1
2025-08-29 08:52:39.936000+01:00,8
2025-08-29 08:52:40.094000+01:00,1
2025-08-29 08:52:40.171000+01:00,1
2025-08-29 08:52:40.264000+01:00,13
2025-08-29 08:52:43.689000+01:00,1
2025-08-29 08:52:43.713000+01:00,1
2025-08-29 08:52:43.723000+01:00,1
2025-08-29 08:52:45.674000+01:00,1
2025-08-29 08:52:45.675000+01:00,1
2025-08-29 08:52:45.800000+01:00,4
