timestamp,attacks
2025-08-27 04:02:25.546000+01:00,2
2025-08-27 04:02:25.547000+01:00,1
2025-08-27 04:02:25.570000+01:00,1
2025-08-27 04:02:25.571000+01:00,1
2025-08-27 04:02:25.572000+01:00,2
2025-08-27 04:02:25.579000+01:00,1
2025-08-27 04:02:25.580000+01:00,1
2025-08-27 04:02:25.581000+01:00,1
2025-08-27 04:02:25.607000+01:00,1
2025-08-27 04:02:25.608000+01:00,1
2025-08-27 04:02:25.624000+01:00,2
2025-08-27 04:02:25.625000+01:00,2
2025-08-27 04:02:25.634000+01:00,2
2025-08-27 04:02:25.635000+01:00,4
2025-08-27 04:02:25.637000+01:00,1
2025-08-27 04:02:25.638000+01:00,2
2025-08-27 04:02:25.641000+01:00,6
2025-08-27 04:02:25.642000+01:00,1
2025-08-27 04:02:25.651000+01:00,1
2025-08-27 04:02:25.652000+01:00,1
2025-08-27 04:02:25.653000+01:00,2
2025-08-27 04:02:25.654000+01:00,1
2025-08-27 04:02:25.681000+01:00,1
2025-08-27 04:02:25.682000+01:00,1
2025-08-27 04:02:25.683000+01:00,2
2025-08-27 04:02:25.813000+01:00,2
2025-08-27 04:02:25.814000+01:00,1
2025-08-27 04:02:25.815000+01:00,1
2025-08-27 04:02:25.816000+01:00,2
2025-08-27 04:02:25.817000+01:00,5
2025-08-27 04:02:25.818000+01:00,1
2025-08-27 04:02:25.830000+01:00,2
2025-08-27 04:02:25.831000+01:00,3
2025-08-27 04:02:25.832000+01:00,2
2025-08-27 04:02:25.833000+01:00,1
2025-08-27 04:02:28.524000+01:00,1
2025-08-27 04:02:28.525000+01:00,1
2025-08-27 04:02:28.544000+01:00,1
2025-08-27 04:02:28.549000+01:00,1
2025-08-27 04:02:28.562000+01:00,1
2025-08-27 04:02:28.568000+01:00,2
2025-08-27 04:02:28.569000+01:00,2
2025-08-27 04:02:28.707000+01:00,1
2025-08-27 04:02:28.708000+01:00,1
2025-08-27 04:02:29.726000+01:00,1
2025-08-27 04:02:29.731000+01:00,2
2025-08-27 04:02:29.766000+01:00,2
2025-08-27 04:02:30.030000+01:00,1
2025-08-27 04:02:30.043000+01:00,1
2025-08-27 04:02:30.083000+01:00,1
2025-08-27 04:02:34.367000+01:00,1
2025-08-27 04:02:34.409000+01:00,1
2025-08-27 04:02:38.858000+01:00,1
2025-08-27 04:02:39.121000+01:00,1
2025-08-27 04:02:40.094000+01:00,908
2025-08-27 04:02:40.095000+01:00,92
2025-08-27 04:02:40.096000+01:00,68
2025-08-27 04:02:40.097000+01:00,4
2025-08-27 04:02:40.113000+01:00,804
2025-08-27 04:02:40.114000+01:00,76
2025-08-27 04:02:40.115000+01:00,4
2025-08-27 04:02:40.116000+01:00,1
2025-08-27 04:02:40.121000+01:00,880
2025-08-27 04:02:40.122000+01:00,880
2025-08-27 04:02:40.123000+01:00,12
2025-08-27 04:02:40.135000+01:00,668
2025-08-27 04:02:40.136000+01:00,64
2025-08-27 04:02:40.137000+01:00,6
2025-08-27 04:02:40.155000+01:00,812
2025-08-27 04:02:40.156000+01:00,812
2025-08-27 04:02:40.157000+01:00,56
2025-08-27 04:02:40.163000+01:00,4
2025-08-27 04:02:40.164000+01:00,8
2025-08-27 04:02:40.165000+01:00,1
2025-08-27 04:02:40.182000+01:00,896
2025-08-27 04:02:40.183000+01:00,896
2025-08-27 04:02:40.184000+01:00,4
2025-08-27 04:02:40.217000+01:00,784
2025-08-27 04:02:40.218000+01:00,116
2025-08-27 04:02:40.219000+01:00,700
2025-08-27 04:02:40.220000+01:00,48
2025-08-27 04:02:40.221000+01:00,1
2025-08-27 04:02:40.261000+01:00,564
2025-08-27 04:02:40.262000+01:00,28
2025-08-27 04:02:40.263000+01:00,4
2025-08-27 04:02:40.291000+01:00,1488
2025-08-27 04:02:40.292000+01:00,160
2025-08-27 04:02:40.293000+01:00,1
2025-08-27 04:02:41.422000+01:00,1
2025-08-27 04:02:41.423000+01:00,1
2025-08-27 04:02:41.424000+01:00,1
2025-08-27 04:02:41.425000+01:00,4
2025-08-27 04:02:41.643000+01:00,1
2025-08-27 04:02:41.644000+01:00,1
2025-08-27 04:02:41.645000+01:00,1
2025-08-27 04:02:41.647000+01:00,2
2025-08-27 04:02:41.648000+01:00,1
2025-08-27 04:02:41.649000+01:00,1
2025-08-27 04:02:42.427000+01:00,1
2025-08-27 04:02:42.428000+01:00,4
2025-08-27 04:02:42.429000+01:00,4
2025-08-27 04:02:42.436000+01:00,1
2025-08-27 04:02:42.451000+01:00,4
2025-08-27 04:02:42.452000+01:00,4
2025-08-27 04:02:42.453000+01:00,4
2025-08-27 04:02:42.454000+01:00,4
2025-08-27 04:02:42.462000+01:00,1
2025-08-27 04:02:42.466000+01:00,4
2025-08-27 04:02:42.467000+01:00,1
2025-08-27 04:02:42.524000+01:00,1
2025-08-27 04:02:42.525000+01:00,2
2025-08-27 04:02:42.526000+01:00,4
2025-08-27 04:02:42.527000+01:00,4
2025-08-27 04:02:45.225000+01:00,1
2025-08-27 04:02:45.253000+01:00,1
2025-08-27 04:02:45.299000+01:00,2
2025-08-27 04:02:45.300000+01:00,1
2025-08-27 04:02:45.307000+01:00,1
2025-08-27 04:02:47.778000+01:00,1
2025-08-27 04:02:47.780000+01:00,2
2025-08-27 04:02:47.783000+01:00,2
2025-08-27 04:02:48.843000+01:00,1
2025-08-27 04:02:48.844000+01:00,1
2025-08-27 04:02:48.850000+01:00,1
2025-08-27 04:02:48.858000+01:00,2
2025-08-27 04:02:48.859000+01:00,2
2025-08-27 04:02:48.907000+01:00,4
2025-08-27 04:02:48.908000+01:00,4
2025-08-27 04:02:50.414000+01:00,4
2025-08-27 04:02:50.425000+01:00,4
2025-08-27 04:02:50.426000+01:00,4
2025-08-27 04:02:50.447000+01:00,4
2025-08-27 04:02:50.448000+01:00,4
2025-08-27 04:02:50.475000+01:00,1
2025-08-27 04:02:50.480000+01:00,1
2025-08-27 04:02:54.424000+01:00,4
2025-08-27 04:02:55.761000+01:00,4
2025-08-27 04:02:55.762000+01:00,4
2025-08-27 04:02:55.763000+01:00,8
2025-08-27 04:02:55.764000+01:00,1
2025-08-27 04:02:55.765000+01:00,2
2025-08-27 04:02:55.766000+01:00,1
2025-08-27 04:02:55.767000+01:00,12
2025-08-27 04:02:55.768000+01:00,24
2025-08-27 04:02:55.781000+01:00,10
2025-08-27 04:02:55.787000+01:00,1
2025-08-27 04:02:55.856000+01:00,8
2025-08-27 04:02:55.857000+01:00,10
2025-08-27 04:02:57.701000+01:00,4
2025-08-27 04:02:57.710000+01:00,4
2025-08-27 04:02:57.711000+01:00,4
2025-08-27 04:02:57.728000+01:00,2
2025-08-27 04:03:00.113000+01:00,1
2025-08-27 04:03:00.118000+01:00,1
2025-08-27 04:03:00.143000+01:00,1
2025-08-27 04:03:00.387000+01:00,1
2025-08-27 04:03:00.388000+01:00,1
2025-08-27 04:03:00.394000+01:00,1
2025-08-27 04:03:05.347000+01:00,1
2025-08-27 04:03:05.348000+01:00,1
2025-08-27 04:03:05.351000+01:00,1
2025-08-27 04:03:08.425000+01:00,1
2025-08-27 04:03:08.427000+01:00,1
2025-08-27 04:03:08.428000+01:00,1
2025-08-27 04:03:08.447000+01:00,1
2025-08-27 04:03:08.448000+01:00,1
2025-08-27 04:03:08.458000+01:00,1
2025-08-27 04:03:08.526000+01:00,1
